state,month,vmt,ndvi,flights,co_mean,co_max1_value,co_max1_hour,co_aqi,no2_mean,no2_max1_value,no2_max1_hour,no2_aqi,pm25_mean,pm25_max1_value,pm25_max1_hour,pm25_aqi,pm10_mean,pm10_max1_value,pm10_max1_hour,pm10_aqi,so2_mean,so2_max1_value,so2_max1_hour,so2_aqi,o3_mean,o3_max1_value,o3_max1_hour,o3_aqi,awnd,prcp,tavg,tmax,tmin,snow,snwd,ihd_deaths,copd_deaths,asthma_deaths
Massachusetts,2018-02,4338.0,0.4730126376857551,27393.0,0.320113796186067,0.479728835978836,9.783289241622574,4.928571428571428,10.078291025683422,20.176256613756617,10.96494708994709,19.02314814814815,7.244216916408129,11.2240227673561,5.274168270001604,36.705357142857146,11.225,11.225,0.0,10.475,1.1448239108058609,1.6661904761904762,10.418543956043957,1.7212454212454211,0.0288195096450617,0.034248401675485,11.701003086419751,31.68667328042328,4.953571428571428,95.8,3.367857142857143,8.0,-1.2142857142857142,211.0,,967,242,
Massachusetts,2018-03,4830.0,0.4830473637915944,29491.0,0.292621688172043,0.395494623655914,8.075268817204302,3.983870967741935,6.283727008960574,14.28405017921147,9.873655913978494,13.53584229390681,4.08165569457478,7.143945910720104,4.779933746062778,21.755902599988623,5.6,5.6,0.0,5.2875,0.8182963799731183,1.301456093189964,10.209677419354838,1.2029569892473118,0.0390520828167826,0.0429253320683111,11.251301918616909,39.82267025089606,6.745161290322581,129.0,2.609677419354839,6.15483870967742,-0.2967741935483871,593.0,,1085,233,
Massachusetts,2018-04,4708.0,0.4772365134048605,33286.0,0.2772089473429951,0.3959658212560386,7.643961352657005,3.980434782608695,7.084840069989107,15.630773420479304,8.976525054466231,14.815849673202614,5.426720999388255,9.392216026771584,4.977034323700991,28.128622981956315,6.8625,6.8625,0.0,6.325,0.3554171612698412,0.6783095238095238,10.08595238095238,0.4166666666666667,0.0402347763888888,0.0456611111111111,11.558333333333332,43.2,5.336666666666667,117.3,7.069999999999999,11.616666666666667,3.22,33.0,,1025,230,
Massachusetts,2018-05,5524.0,0.6576996919250303,36910.0,0.2820742580645161,0.411160669975186,7.659015715467327,4.259856630824372,6.244293402389485,13.450019912385503,10.685324571883712,12.743508562325768,7.399911821400837,11.610011520737324,4.654441884280594,37.79579360392816,13.833333333333334,13.833333333333334,0.0,12.8,0.322351219032258,0.5274301075268817,9.68537634408602,0.1174193548387096,0.0386474241039426,0.0457881720430107,10.78073476702509,46.46191756272401,4.470967741935484,48.2,16.058064516129033,22.061290322580643,11.370967741935484,0.0,,984,233,
Massachusetts,2018-06,5419.0,0.7889549046083568,39045.0,0.24551625,0.3187305555555555,6.502777777777777,3.0833333333333335,5.372273455555555,12.094444444444443,10.47037037037037,11.465740740740742,6.022328277269841,10.03545,5.292714285714285,31.40431328320802,9.25,9.25,0.0,8.466666666666667,0.362803815,0.5205,8.781666666666666,0.05,0.0321891692460317,0.0391460317460317,10.528373015873017,37.23134920634921,4.583333333333333,75.3,19.676666666666662,24.293333333333333,15.316666666666666,0.0,,994,181,
Massachusetts,2018-07,5734.0,0.8027275851797024,42197.0,0.2290622768817204,0.3057679211469534,8.14874551971326,2.8844086021505375,5.667708738977652,11.533394488344433,9.381770991337175,10.908254241124096,8.383760346238095,12.68441643625192,5.320545314900153,41.48265260128163,,,,,0.3681012193548387,0.5129032258064516,9.606451612903223,0.0870967741935483,0.033442044709174,0.0418589580921916,10.65629453972057,41.17009504001033,4.412903225806452,115.7,24.387096774193548,28.76774193548387,20.248387096774195,0.0,,981,192,
Massachusetts,2018-08,5568.0,0.8051907321405913,43419.0,0.2759894677419355,0.3720537634408602,9.196236559139784,3.806451612903226,5.339409639784947,11.25268817204301,10.109318996415771,10.71594982078853,7.038994599946237,11.013612220515446,5.387961256187063,35.51761254874158,,,,,0.4154631948973607,0.5697390029325513,9.564301075268816,0.1970674486803519,0.0320035023904052,0.0406685607940446,10.321877584780813,39.853589743589744,4.232258064516128,118.3,24.951612903225808,29.33870967741936,21.12258064516129,0.0,,870,179,
Massachusetts,2018-09,5250.0,0.7891996320933367,38022.0,0.2562577726190476,0.3900821428571429,10.048015873015872,4.0055555555555555,4.8163666294380585,10.46602809706258,11.657726692209453,9.9169220945083,4.292904501666667,7.836161111111112,5.90731746031746,24.73375253549695,,,,,0.4286933528947368,0.6040614035087719,9.505526315789472,0.1752631578947368,0.0223774626373626,0.0291826007326007,10.844871794871796,27.013186813186813,4.316666666666666,130.2,20.266666666666666,24.006666666666668,17.13,0.0,,941,172,
Massachusetts,2018-10,5697.0,0.7246245392739897,36846.0,0.2595555920114539,0.3977182873616955,9.330917874396135,4.06299672744273,6.4544855919684005,14.077989905639674,11.445644064077245,13.326903664691685,5.914664204295514,9.568612532443456,5.653246199480905,31.078594449673425,,,,,0.4121103004119536,0.6808218125960062,9.668412232928365,0.3834101382488479,0.0223083034739454,0.0279611248966087,11.182299421009098,25.90942928039702,5.009677419354839,96.0,12.393548387096772,16.470967741935485,8.44516129032258,0.0,,886,214,
Massachusetts,2018-11,4943.0,0.5702669656898057,32459.0,0.2498142333333333,0.39465,10.2375,3.716666666666667,7.448464383106576,15.935034013605442,11.49784580498866,15.033106575963718,5.522144327733758,8.763836658456487,5.607507304955581,29.590517094017095,4.3,4.3,0.0,4.022222222222222,0.3058681259770115,0.6031379310344828,9.77183908045977,0.3833333333333333,0.0234954431918656,0.0288729885057471,12.96688770999116,26.740141467727675,5.6066666666666665,235.1,6.153333333333333,9.376666666666669,2.813333333333333,3.0,,915,182,
