year,month,state,vmt
2004,3,Washington,4236.0
2004,3,Wyoming,683.0
2004,5,Connecticut,2749.0
2004,5,Maine,1221.0
2004,5,Massachusetts,4184.0
2004,5,New Hampshire,1002.0
2004,5,New Jersey,6077.0
2004,5,New York,11555.0
2004,5,Pennsylvania,9010.0
2004,5,Rhode Island,717.0
2004,5,Vermont,1317.0
2004,5,Delaware,859.0
2004,5,District of Columbia,323.0
2004,5,Florida,15173.0
2004,5,Georgia,9500.0
2004,5,Maryland,4897.0
2004,5,North Carolina,8123.0
2004,5,South Carolina,4338.0
2004,5,Virginia,7191.0
2004,5,West Virginia,1755.0
2004,5,Illinois,9788.0
2004,5,Indiana,6467.0
2004,5,Iowa,2812.0
2004,5,Kansas,2512.0
2004,5,Michigan,8451.0
2004,5,Minnesota,4767.0
2004,5,Missouri,6227.0
2004,5,Nebraska,1672.0
2004,5,North Dakota,644.0
2004,5,Ohio,9745.0
2004,5,South Dakota,791.0
2004,5,Wisconsin,5117.0
2004,5,Alabama,5020.0
2004,5,Arkansas,2695.0
2004,5,Kentucky,4261.0
2004,5,Louisiana,3786.0
2004,5,Mississippi,3270.0
2004,5,Oklahoma,4057.0
2004,5,Tennessee,6096.0
2004,5,Texas,19017.0
2004,5,Alaska,516.0
2004,5,Arizona,4744.0
2004,5,California,28911.0
2004,5,Colorado,3840.0
2004,5,Hawaii,744.0
2004,5,Idaho,1235.0
2004,5,Montana,952.0
2004,5,Nevada,1713.0
2004,5,New Mexico,2024.0
2004,5,Oregon,3182.0
2004,5,Utah,2125.0
2004,5,Washington,4926.0
2004,5,Wyoming,789.0
2004,11,Connecticut,2593.0
2004,11,Maine,1173.0
2004,11,Massachusetts,4336.0
2004,11,New Hampshire,1025.0
2004,11,New Jersey,5943.0
2004,11,New York,10512.0
2004,11,Pennsylvania,8445.0
2004,11,Rhode Island,660.0
2004,11,Vermont,865.0
2004,11,Delaware,711.0
2004,11,District of Columbia,440.0
2004,11,Florida,16226.0
2004,11,Georgia,8765.0
2004,11,Maryland,4781.0
2004,11,North Carolina,7519.0
2004,11,South Carolina,3730.0
2004,11,Virginia,6513.0
2004,11,West Virginia,1729.0
2004,11,Illinois,8290.0
2004,11,Indiana,5657.0
2004,11,Iowa,2549.0
2004,11,Kansas,2345.0
2004,11,Michigan,8105.0
2004,11,Minnesota,4568.0
2004,11,Missouri,5488.0
2004,11,Nebraska,1542.0
2004,11,North Dakota,579.0
2004,11,Ohio,9032.0
2004,11,South Dakota,636.0
2004,11,Wisconsin,4764.0
2004,11,Alabama,4794.0
2004,11,Arkansas,2491.0
2004,11,Kentucky,3739.0
2004,11,Louisiana,3586.0
2004,11,Mississippi,3086.0
2004,11,Oklahoma,3784.0
2004,11,Tennessee,5244.0
2004,11,Texas,17935.0
2004,11,Alaska,345.0
2004,11,Arizona,4624.0
